Date,Temperature,Wind_Speed,Humidity,Precipitation,City,Year,Month,Season
2015-01-01,11.3,10.0,50.0,0.0,Delhi,2015,1,Winter
2015-01-02,13.1,7.4,50.0,0.0,Delhi,2015,1,Winter
2015-01-03,11.8,10.6,50.0,0.0,Delhi,2015,1,Winter
2015-01-04,11.5,14.1,50.0,0.0,Delhi,2015,1,Winter
2015-01-05,10.1,7.1,50.0,0.0,Delhi,2015,1,Winter
2015-01-06,10.8,7.1,50.0,0.0,Delhi,2015,1,Winter
2015-01-07,12.5,14.3,50.0,0.0,Delhi,2015,1,Winter
2015-01-08,7.3,11.1,50.0,0.0,Delhi,2015,1,Winter
2015-01-09,9.3,6.1,50.0,0.0,Delhi,2015,1,Winter
2015-01-10,8.5,10.2,50.0,0.0,Delhi,2015,1,Winter
2015-01-11,10.8,6.1,50.0,0.0,Delhi,2015,1,Winter
2015-01-12,12.5,6.1,50.0,0.0,Delhi,2015,1,Winter
2015-01-13,8.8,9.0,50.0,0.0,Delhi,2015,1,Winter
2015-01-14,5.2,0.3,50.0,0.0,Delhi,2015,1,Winter
2015-01-15,9.2,1.1,50.0,0.0,Delhi,2015,1,Winter
2015-01-16,11.8,5.8,50.0,0.0,Delhi,2015,1,Winter
2015-01-17,11.1,3.9,50.0,0.0,Delhi,2015,1,Winter
2015-01-18,10.9,9.3,50.0,0.0,Delhi,2015,1,Winter
2015-01-19,9.4,4.4,50.0,0.0,Delhi,2015,1,Winter
2015-01-20,7.4,2.4,50.0,0.0,Delhi,2015,1,Winter
2015-01-21,11.0,13.9,50.0,0.0,Delhi,2015,1,Winter
2015-01-22,8.3,7.1,50.0,0.0,Delhi,2015,1,Winter
2015-01-23,14.4,8.3,50.0,0.0,Delhi,2015,1,Winter
2015-01-24,11.1,2.3,50.0,0.0,Delhi,2015,1,Winter
2015-01-25,8.8,5.8,50.0,0.0,Delhi,2015,1,Winter
2015-01-26,8.8,8.4,50.0,0.0,Delhi,2015,1,Winter
2015-01-27,9.8,3.4,50.0,0.0,Delhi,2015,1,Winter
2015-01-28,9.5,9.5,50.0,0.0,Delhi,2015,1,Winter
2015-01-29,12.2,5.6,50.0,0.0,Delhi,2015,1,Winter
2015-01-30,10.4,6.8,50.0,0.0,Delhi,2015,1,Winter
2015-01-31,8.5,5.6,50.0,0.0,Delhi,2015,1,Winter
2015-02-01,15.8,15.4,40.0,0.0,Delhi,2015,2,Winter
2015-02-02,12.1,7.9,40.0,0.0,Delhi,2015,2,Winter
2015-02-03,13.5,3.8,40.0,0.0,Delhi,2015,2,Winter
2015-02-04,10.8,11.3,40.0,0.0,Delhi,2015,2,Winter
2015-02-05,12.7,3.1,40.0,0.0,Delhi,2015,2,Winter
2015-02-06,12.6,8.8,40.0,0.0,Delhi,2015,2,Winter
2015-02-07,8.2,0.2,40.0,0.0,Delhi,2015,2,Winter
2015-02-08,16.0,2.7,40.0,0.0,Delhi,2015,2,Winter
2015-02-09,14.6,8.8,40.0,0.0,Delhi,2015,2,Winter
2015-02-10,11.2,11.0,40.0,0.0,Delhi,2015,2,Winter
2015-02-11,9.8,8.7,40.0,0.0,Delhi,2015,2,Winter
2015-02-12,12.7,7.5,40.0,0.0,Delhi,2015,2,Winter
2015-02-13,12.2,6.8,40.0,0.0,Delhi,2015,2,Winter
2015-02-14,12.7,2.1,40.0,0.0,Delhi,2015,2,Winter
2015-02-15,12.4,5.1,40.0,0.0,Delhi,2015,2,Winter
2015-02-16,13.0,6.2,40.0,0.0,Delhi,2015,2,Winter
2015-02-17,14.9,12.2,40.0,0.0,Delhi,2015,2,Winter
2015-02-18,13.1,9.4,40.0,0.0,Delhi,2015,2,Winter
2015-02-19,9.9,0.9,40.0,0.0,Delhi,2015,2,Winter
2015-02-20,14.7,9.3,40.0,0.0,Delhi,2015,2,Winter
2015-02-21,15.3,6.5,40.0,0.0,Delhi,2015,2,Winter
2015-02-22,18.3,5.3,40.0,0.0,Delhi,2015,2,Winter
2015-02-23,9.8,10.4,40.0,0.0,Delhi,2015,2,Winter
2015-02-24,12.5,12.1,40.0,0.0,Delhi,2015,2,Winter
2015-02-25,7.8,11.7,40.0,0.0,Delhi,2015,2,Winter
